participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.7286821705426356,0.7445255474452555,0.75,0.7391304347826086,0.8385265700483091,129,69,RandomForest
2,0.5371900826446281,0.6,0.5185185185185185,0.711864406779661,0.6850738108255878,121,59,RandomForest
3,0.5590551181102362,0.6164383561643836,0.5921052631578947,0.6428571428571429,0.6448621553884712,127,70,RandomForest
4,0.7890625,0.8322981366459627,0.7282608695652174,0.9710144927536232,0.8587570621468926,128,69,RandomForest
5,0.744,0.7746478873239436,0.7333333333333333,0.8208955223880597,0.8252702007205353,125,67,RandomForest
6,0.8253968253968254,0.8472222222222222,0.782051282051282,0.9242424242424242,0.917929292929293,126,66,RandomForest
7,0.6384615384615384,0.656934306569343,0.6716417910447762,0.6428571428571429,0.7088095238095237,130,70,RandomForest
8,0.5862068965517241,0.6363636363636364,0.5753424657534246,0.711864406779661,0.6196848052334225,116,59,RandomForest
9,0.7295081967213115,0.7659574468085106,0.72,0.8181818181818182,0.8114177489177489,122,66,RandomForest
10,0.6171875,0.6370370370370371,0.6323529411764706,0.6417910447761194,0.6755566430144361,128,67,RandomForest
11,0.8188976377952756,0.8516129032258064,0.7586206896551724,0.9705882352941176,0.8384845463609173,127,68,RandomForest
12,0.9457364341085271,0.9481481481481482,0.9696969696969697,0.927536231884058,0.9913043478260869,129,69,RandomForest
13,0.873015873015873,0.8823529411764706,0.8571428571428571,0.9090909090909091,0.9391414141414142,126,66,RandomForest
14,0.8604651162790697,0.8767123287671232,0.8311688311688312,0.927536231884058,0.9396135265700484,129,69,RandomForest
15,0.9338842975206612,0.9365079365079365,0.921875,0.9516129032258065,0.9816839803171132,121,62,RandomForest
16,0.7364341085271318,0.7424242424242424,0.7777777777777778,0.7101449275362319,0.8270531400966183,129,69,RandomForest
17,0.7984496124031008,0.8289473684210527,0.7590361445783133,0.9130434782608695,0.86256038647343,129,69,RandomForest
18,0.7647058823529411,0.8108108108108109,0.759493670886076,0.8695652173913043,0.8475362318840579,119,69,RandomForest
19,0.5384615384615384,0.5774647887323944,0.5616438356164384,0.5942028985507246,0.6113090995485864,130,69,RandomForest
20,0.6046511627906976,0.6871165644171779,0.5957446808510638,0.8115942028985508,0.6026570048309178,129,69,RandomForest
21,0.5849056603773585,0.5686274509803921,0.5178571428571429,0.6304347826086957,0.7235507246376811,106,46,RandomForest
22,0.8015873015873016,0.8201438848920863,0.7916666666666666,0.8507462686567164,0.9043764229698964,126,67,RandomForest
23,0.7131782945736435,0.7784431137724551,0.6632653061224489,0.9420289855072463,0.8567632850241546,129,69,RandomForest
24,0.5769230769230769,0.6496815286624203,0.5795454545454546,0.7391304347826086,0.560703254929912,130,69,RandomForest
25,0.7265625,0.7619047619047619,0.7088607594936709,0.8235294117647058,0.7318627450980392,128,68,RandomForest
1,0.7906976744186046,0.7906976744186046,0.85,0.7391304347826086,0.8577294685990339,129,69,GradientBoosting
